"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"62","G1700310051200","Illinois","17031",2000,211,39,4,1,19,8,21,303,0,8,8,0,1,1,1,0,0,2,4,1,0,0,0,1,0,0,2,0,19,"Cook"
"63","G1700310051300","Illinois","17031",2000,266,112,8,0,29,29,23,467,0,21,1,0,0,7,0,0,3,3,7,5,2,5,1,3,0,1,3,0,19,"Cook"
"64","G1700310051400","Illinois","17031",2000,320,272,6,3,34,25,82,742,9,23,1,0,0,1,0,5,0,0,1,9,0,9,0,1,0,3,5,0,74,"Cook"
"65","G1700310051500","Illinois","17031",2000,406,115,8,0,16,28,48,621,0,15,0,0,1,0,0,0,0,1,8,4,0,14,0,0,1,0,6,0,42,"Cook"
"66","G1700310060100","Illinois","17031",2000,150,72,29,0,53,60,54,418,0,42,1,0,0,10,0,1,3,0,10,45,0,0,0,0,1,4,2,0,48,"Cook"
"67","G1700310060200","Illinois","17031",2000,477,58,7,1,20,52,66,681,6,12,0,0,0,2,0,1,0,2,31,7,1,9,0,1,0,0,2,0,64,"Cook"
"68","G1700310060300","Illinois","17031",2000,279,51,14,1,19,30,39,433,3,7,9,0,0,0,0,0,0,1,5,14,0,5,0,5,0,5,2,2,30,"Cook"
"69","G1700310060400","Illinois","17031",2000,245,65,16,0,18,29,55,428,3,3,7,0,1,3,1,1,1,0,5,13,0,3,0,4,2,0,7,1,47,"Cook"
"70","G1700310060500","Illinois","17031",2000,43,36,5,2,11,18,24,139,1,6,1,3,0,0,0,0,0,0,1,13,0,2,0,1,1,2,1,0,21,"Cook"
"71","G1700310060600","Illinois","17031",2000,40,13,0,0,4,2,2,61,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,"Cook"
"72","G1700310060700","Illinois","17031",2000,206,94,13,7,29,15,55,419,0,13,11,1,2,1,1,1,0,0,3,10,0,1,0,0,0,0,1,0,54,"Cook"
"73","G1700310060800","Illinois","17031",2000,179,56,37,2,15,38,62,389,0,4,1,2,5,2,1,6,0,2,3,3,4,8,0,6,6,7,10,1,44,"Cook"
"74","G1700310060900","Illinois","17031",2000,254,98,28,8,18,68,78,552,4,4,0,0,5,4,1,12,1,3,25,12,0,6,0,7,2,8,11,0,59,"Cook"
"75","G1700310061000","Illinois","17031",2000,49,31,3,4,1,9,8,105,0,0,0,0,0,1,0,2,0,0,3,1,0,0,0,1,2,1,2,0,5,"Cook"
"76","G1700310061100","Illinois","17031",2000,43,12,1,0,3,9,11,79,0,2,0,0,0,1,0,3,0,0,3,3,0,0,0,0,0,0,1,0,10,"Cook"
"77","G1700310061200","Illinois","17031",2000,60,36,3,1,7,6,17,130,0,6,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,14,"Cook"
"78","G1700310061300","Illinois","17031",2000,94,41,6,0,3,11,15,170,0,0,1,0,1,0,1,0,1,0,6,1,0,1,0,1,1,1,2,0,12,"Cook"
"79","G1700310061400","Illinois","17031",2000,35,28,2,0,6,4,5,80,0,0,0,0,2,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0,5,"Cook"
"80","G1700310061500","Illinois","17031",2000,30,18,5,0,6,7,13,79,0,4,0,2,0,0,0,0,0,3,2,0,0,1,0,1,0,2,1,0,10,"Cook"
"81","G1700310061600","Illinois","17031",2000,31,3,0,0,4,2,5,45,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3,"Cook"
"82","G1700310061700","Illinois","17031",2000,48,16,5,0,10,8,8,95,0,10,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,1,2,0,5,"Cook"
"83","G1700310061800","Illinois","17031",2000,66,12,3,0,3,3,13,100,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,13,"Cook"
"84","G1700310061900","Illinois","17031",2000,302,67,36,7,11,87,89,599,0,4,3,2,0,1,1,11,4,3,20,29,0,9,1,4,6,17,17,0,55,"Cook"
"85","G1700310062000","Illinois","17031",2000,77,27,10,2,8,22,21,167,0,2,1,1,2,0,2,2,0,1,3,7,0,5,0,2,2,4,4,0,13,"Cook"
"86","G1700310062100","Illinois","17031",2000,84,38,10,0,5,27,18,182,0,2,1,0,0,2,0,0,0,4,15,4,0,3,0,1,0,3,8,0,7,"Cook"
"87","G1700310062200","Illinois","17031",2000,106,28,9,0,1,6,10,160,0,1,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,3,0,7,"Cook"
"88","G1700310062300","Illinois","17031",2000,99,23,11,0,0,4,13,150,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,9,"Cook"
"89","G1700310062400","Illinois","17031",2000,58,19,2,1,2,6,6,94,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,1,0,0,5,"Cook"
"90","G1700310062500","Illinois","17031",2000,135,33,6,0,8,5,9,196,0,7,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,5,0,4,"Cook"
