"","GISJOIN","YEAR","STATE","COUNTY","state_county","Mexican","total_pop","total_his"
"1358","G1700430840301",1990,"Illinois","Dupage","17043",617,7358,799
"1359","G1700430840302",1990,"Illinois","Dupage","17043",638,6820,798
"1360","G17004308404",1990,"Illinois","Dupage","17043",79,941,80
"1361","G17004308405",1990,"Illinois","Dupage","17043",415,6406,570
"1362","G17004308406",1990,"Illinois","Dupage","17043",71,4789,110
"1363","G1700430840701",1990,"Illinois","Dupage","17043",416,6113,553
"1364","G1700430840798",1990,"Illinois","Dupage","17043",259,7249,426
"1365","G17004308408",1990,"Illinois","Dupage","17043",1812,9064,2065
"1366","G1700430840901",1990,"Illinois","Dupage","17043",162,3465,222
"1367","G1700430840902",1990,"Illinois","Dupage","17043",517,9159,704
"1368","G1700430840903",1990,"Illinois","Dupage","17043",551,11138,784
"1369","G1700430841001",1990,"Illinois","Dupage","17043",133,6708,189
"1370","G1700430841002",1990,"Illinois","Dupage","17043",37,3225,67
"1371","G1700430841103",1990,"Illinois","Dupage","17043",137,8148,243
"1372","G1700430841104",1990,"Illinois","Dupage","17043",55,4512,101
"1373","G1700430841105",1990,"Illinois","Dupage","17043",299,8442,495
"1374","G1700430841106",1990,"Illinois","Dupage","17043",96,5398,141
"1375","G1700430841107",1990,"Illinois","Dupage","17043",132,7928,204
"1376","G1700430841202",1990,"Illinois","Dupage","17043",299,7289,423
"1377","G1700430841203",1990,"Illinois","Dupage","17043",157,5442,251
"1378","G1700430841204",1990,"Illinois","Dupage","17043",200,6155,358
"1379","G1700430841205",1990,"Illinois","Dupage","17043",285,9041,424
"1380","G1700430841301",1990,"Illinois","Dupage","17043",525,4447,581
"1381","G1700430841302",1990,"Illinois","Dupage","17043",133,6221,235
"1382","G1700430841303",1990,"Illinois","Dupage","17043",323,7410,446
"1383","G1700430841304",1990,"Illinois","Dupage","17043",354,17117,710
"1384","G1700430841305",1990,"Illinois","Dupage","17043",101,5184,157
"1385","G1700430841401",1990,"Illinois","Dupage","17043",758,4857,827
"1386","G1700430841402",1990,"Illinois","Dupage","17043",67,6992,139
"1387","G17004308415",1990,"Illinois","Dupage","17043",2611,10643,2807
"1388","G1700430841601",1990,"Illinois","Dupage","17043",186,5764,288
"1389","G1700430841602",1990,"Illinois","Dupage","17043",722,9713,808
"1390","G1700430841701",1990,"Illinois","Dupage","17043",536,7007,689
"1391","G1700430841702",1990,"Illinois","Dupage","17043",331,6903,450
"1392","G17004308418",1990,"Illinois","Dupage","17043",120,9619,164
"1393","G17004308419",1990,"Illinois","Dupage","17043",33,6379,76
"1394","G17004308420",1990,"Illinois","Dupage","17043",9,4512,35
"1395","G17004308421",1990,"Illinois","Dupage","17043",68,4882,110
"1396","G17004308422",1990,"Illinois","Dupage","17043",32,4484,73
"1397","G17004308423",1990,"Illinois","Dupage","17043",33,3737,49
"1398","G17004308424",1990,"Illinois","Dupage","17043",68,4978,114
"1399","G17004308425",1990,"Illinois","Dupage","17043",27,2733,83
"1400","G1700430842602",1990,"Illinois","Dupage","17043",55,8006,110
"1401","G1700430842603",1990,"Illinois","Dupage","17043",149,9035,237
"1402","G1700430842604",1990,"Illinois","Dupage","17043",166,4263,212
"1403","G1700430842703",1990,"Illinois","Dupage","17043",13,4362,37
"1404","G1700430842704",1990,"Illinois","Dupage","17043",83,9036,188
"1405","G1700430842705",1990,"Illinois","Dupage","17043",51,7075,155
"1406","G1700430842706",1990,"Illinois","Dupage","17043",40,4929,75
"1407","G1700430842707",1990,"Illinois","Dupage","17043",91,6208,152
"1408","G17004308428",1990,"Illinois","Dupage","17043",38,4443,107
"1409","G17004308429",1990,"Illinois","Dupage","17043",46,4516,83
"1410","G17004308430",1990,"Illinois","Dupage","17043",164,3906,209
"1411","G17004308431",1990,"Illinois","Dupage","17043",71,3929,115
"1412","G17004308432",1990,"Illinois","Dupage","17043",204,5346,276
"1413","G17004308433",1990,"Illinois","Dupage","17043",299,7535,398
"1414","G17004308434",1990,"Illinois","Dupage","17043",59,3654,79
"1415","G17004308435",1990,"Illinois","Dupage","17043",54,4897,92
"1416","G17004308436",1990,"Illinois","Dupage","17043",106,6885,127
"1417","G17004308437",1990,"Illinois","Dupage","17043",55,4664,82
"1418","G17004308438",1990,"Illinois","Dupage","17043",45,3249,81
"1419","G17004308439",1990,"Illinois","Dupage","17043",52,3993,69
"1420","G17004308440",1990,"Illinois","Dupage","17043",64,7574,103
"1421","G17004308441",1990,"Illinois","Dupage","17043",19,3965,45
"1422","G1700430844201",1990,"Illinois","Dupage","17043",95,5121,130
"1423","G1700430844202",1990,"Illinois","Dupage","17043",40,3799,67
"1424","G1700430844301",1990,"Illinois","Dupage","17043",178,11144,481
"1425","G1700430844302",1990,"Illinois","Dupage","17043",311,7016,444
"1426","G17004308444",1990,"Illinois","Dupage","17043",144,9607,271
"1427","G17004308445",1990,"Illinois","Dupage","17043",67,6686,160
"1428","G17004308446",1990,"Illinois","Dupage","17043",57,8617,175
"1429","G17004308447",1990,"Illinois","Dupage","17043",115,9510,209
"1430","G17004308448",1990,"Illinois","Dupage","17043",88,7585,127
"1431","G17004308449",1990,"Illinois","Dupage","17043",70,6790,95
"1432","G17004308450",1990,"Illinois","Dupage","17043",87,5509,111
"1433","G17004308451",1990,"Illinois","Dupage","17043",57,5496,103
"1434","G17004308452",1990,"Illinois","Dupage","17043",25,4235,61
"1435","G17004308453",1990,"Illinois","Dupage","17043",10,3497,36
