"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"1814","G1701110870102","Illinois","17111",2010,248,187,18,13,1,6,3,2,1,0,0,0,0,10,2,0,0,2,1,0,5,0,0,0,13,6,4,0,3,"McHenry"
"1815","G1701110870200","Illinois","17111",2010,1198,1081,14,6,0,26,0,13,2,4,3,4,0,5,4,0,0,0,1,0,0,0,0,0,66,7,8,0,51,"McHenry"
"1816","G1701110870301","Illinois","17111",2010,1705,1577,19,4,0,15,1,1,0,0,0,13,0,7,0,0,1,2,1,0,0,0,3,0,83,2,3,0,78,"McHenry"
"1817","G1701110870302","Illinois","17111",2010,1868,1754,29,10,0,8,0,4,2,0,0,2,0,9,0,0,0,2,6,0,0,0,1,0,58,4,5,0,49,"McHenry"
"1818","G1701110870401","Illinois","17111",2010,758,599,52,10,0,11,0,7,0,0,0,4,0,25,0,2,2,9,3,0,6,0,3,0,61,12,8,0,41,"McHenry"
"1819","G1701110870402","Illinois","17111",2010,1875,1595,44,12,0,42,0,11,3,6,0,22,0,17,0,0,0,6,9,0,1,0,1,0,165,9,28,1,127,"McHenry"
"1820","G1701110870500","Illinois","17111",2010,531,421,54,12,0,15,0,11,1,0,1,2,0,14,2,0,1,6,4,0,1,0,0,0,15,6,5,0,4,"McHenry"
"1821","G1701110870603","Illinois","17111",2010,766,677,36,3,0,19,0,10,2,0,1,6,0,8,0,1,1,2,1,0,1,0,0,2,23,4,3,0,16,"McHenry"
"1822","G1701110870604","Illinois","17111",2010,626,519,46,6,0,13,0,3,1,4,0,5,0,12,0,0,0,6,0,0,5,0,0,1,30,6,4,0,20,"McHenry"
"1823","G1701110870605","Illinois","17111",2010,802,710,39,15,0,13,4,4,1,0,2,1,1,10,0,0,1,5,0,3,0,0,1,0,15,7,1,2,5,"McHenry"
"1824","G1701110870606","Illinois","17111",2010,961,863,29,2,2,13,0,8,5,0,0,0,0,11,0,0,3,7,0,0,1,0,0,0,41,2,8,0,31,"McHenry"
"1825","G1701110870702","Illinois","17111",2010,486,396,41,0,0,6,0,2,0,0,1,3,0,21,0,4,2,4,9,0,2,0,0,0,22,10,9,0,3,"McHenry"
"1826","G1701110870703","Illinois","17111",2010,176,129,21,1,0,10,0,10,0,0,0,0,0,10,0,0,0,4,0,0,6,0,0,0,5,1,0,0,4,"McHenry"
"1827","G1701110870704","Illinois","17111",2010,178,124,22,6,0,9,0,5,0,1,0,3,0,4,0,0,0,0,0,0,4,0,0,0,13,5,7,0,1,"McHenry"
"1828","G1701110870803","Illinois","17111",2010,346,261,24,5,0,15,1,4,6,0,1,3,0,19,3,1,2,6,2,0,5,0,0,0,22,5,10,0,7,"McHenry"
"1829","G1701110870807","Illinois","17111",2010,984,821,60,5,0,31,0,18,6,3,1,3,0,21,0,0,0,11,2,0,7,0,1,0,46,10,7,0,29,"McHenry"
"1830","G1701110870808","Illinois","17111",2010,318,229,19,0,4,20,0,12,7,0,0,1,0,19,0,5,0,11,1,0,1,0,1,0,27,1,2,0,24,"McHenry"
"1831","G1701110870809","Illinois","17111",2010,398,296,32,10,1,20,3,6,0,0,6,4,1,16,0,0,0,11,2,1,2,0,0,0,23,6,2,0,15,"McHenry"
"1832","G1701110870810","Illinois","17111",2010,200,147,16,6,1,8,0,7,0,0,0,1,0,10,1,0,3,3,0,0,1,0,2,0,12,3,0,0,9,"McHenry"
"1833","G1701110870811","Illinois","17111",2010,558,496,21,1,0,8,1,4,1,0,2,0,0,5,1,0,0,4,0,0,0,0,0,0,27,5,2,0,20,"McHenry"
"1834","G1701110870812","Illinois","17111",2010,665,565,15,13,5,15,1,8,1,4,0,1,0,23,1,4,0,7,5,0,3,0,3,0,29,4,10,0,15,"McHenry"
"1835","G1701110870902","Illinois","17111",2010,1152,976,63,3,0,27,0,9,4,0,7,7,0,28,1,0,6,7,6,0,5,0,3,0,55,11,6,0,38,"McHenry"
"1836","G1701110870903","Illinois","17111",2010,955,883,24,0,1,13,0,10,2,0,0,1,0,9,0,0,0,4,0,0,0,0,5,0,25,2,5,0,18,"McHenry"
"1837","G1701110870904","Illinois","17111",2010,698,636,18,6,0,9,0,1,3,0,0,5,0,4,0,0,0,2,0,0,1,0,1,0,25,7,0,0,18,"McHenry"
"1838","G1701110870905","Illinois","17111",2010,1222,1091,41,5,1,28,0,5,7,2,0,14,0,21,2,0,3,9,1,0,4,0,2,0,35,8,4,0,23,"McHenry"
"1839","G1701110871003","Illinois","17111",2010,562,502,31,6,1,5,0,3,0,1,0,1,0,3,0,0,0,2,0,0,1,0,0,0,14,1,0,0,13,"McHenry"
"1840","G1701110871004","Illinois","17111",2010,847,725,35,7,1,21,0,10,4,0,0,7,0,18,2,0,0,3,0,0,13,0,0,0,40,5,14,0,21,"McHenry"
"1841","G1701110871104","Illinois","17111",2010,1945,1303,249,38,8,81,0,47,10,1,0,23,0,170,12,2,7,52,44,1,35,0,16,1,96,29,16,0,51,"McHenry"
"1842","G1701110871105","Illinois","17111",2010,367,285,24,5,0,15,2,5,2,1,0,5,0,12,1,0,2,5,4,0,0,0,0,0,26,1,6,0,19,"McHenry"
"1843","G1701110871106","Illinois","17111",2010,870,596,136,31,5,26,1,14,0,3,1,7,0,58,8,9,5,17,8,0,6,0,5,0,18,12,4,0,2,"McHenry"
"1844","G1701110871107","Illinois","17111",2010,264,169,39,12,0,12,0,8,4,0,0,0,0,20,0,3,0,12,0,0,2,0,3,0,12,8,1,0,3,"McHenry"
"1845","G1701110871108","Illinois","17111",2010,404,207,82,16,2,30,0,14,5,0,2,9,0,37,1,0,0,8,7,0,12,0,9,0,30,6,0,0,24,"McHenry"
"1846","G1701110871109","Illinois","17111",2010,670,464,73,16,0,35,2,9,4,3,0,17,0,56,0,2,4,22,13,0,15,0,0,0,26,7,5,0,14,"McHenry"
"1847","G1701110871201","Illinois","17111",2010,508,387,45,9,4,26,4,10,2,0,1,9,0,22,5,4,0,9,2,0,1,0,0,1,15,6,0,4,5,"McHenry"
"1848","G1701110871202","Illinois","17111",2010,1339,1129,57,12,0,32,0,14,2,0,3,13,0,26,4,0,0,14,4,0,3,0,1,0,83,12,30,0,41,"McHenry"
"1849","G1701110871205","Illinois","17111",2010,557,413,48,16,0,18,0,10,1,1,0,6,0,32,1,0,6,7,3,0,14,0,1,0,30,7,14,0,9,"McHenry"
"1850","G1701110871206","Illinois","17111",2010,401,230,49,16,2,18,0,8,4,2,0,4,0,54,5,0,0,23,11,0,5,0,3,7,32,12,13,0,7,"McHenry"
"1851","G1701110871207","Illinois","17111",2010,552,373,67,16,0,26,1,11,7,1,2,4,0,47,1,0,2,13,4,0,26,0,1,0,23,7,1,0,15,"McHenry"
"1852","G1701110871208","Illinois","17111",2010,233,125,34,10,9,13,5,8,0,0,0,0,0,32,4,1,1,9,4,0,13,0,0,0,10,1,3,0,6,"McHenry"
"1853","G1701110871209","Illinois","17111",2010,413,319,42,3,0,2,0,0,1,0,0,1,0,30,1,0,1,10,2,0,9,0,7,0,17,2,4,0,11,"McHenry"
"1854","G1701110871301","Illinois","17111",2010,502,440,33,3,0,5,0,1,3,0,0,1,0,12,0,5,0,5,0,0,0,0,2,0,9,1,1,0,7,"McHenry"
"1855","G1701110871304","Illinois","17111",2010,188,154,9,2,0,4,3,0,1,0,0,0,0,7,0,0,4,1,0,0,2,0,0,0,12,5,0,0,7,"McHenry"
"1856","G1701110871305","Illinois","17111",2010,714,577,29,6,3,16,6,8,2,0,0,0,0,38,1,3,4,9,3,0,18,0,0,0,45,10,4,0,31,"McHenry"
"1857","G1701110871306","Illinois","17111",2010,904,774,39,5,7,35,1,10,14,1,5,4,0,14,0,0,1,3,7,0,0,1,2,0,30,9,6,2,13,"McHenry"
"1858","G1701110871307","Illinois","17111",2010,491,431,11,4,0,12,5,7,0,0,0,0,0,16,0,0,1,3,2,0,2,0,8,0,17,5,0,0,12,"McHenry"
"1859","G1701110871310","Illinois","17111",2010,285,217,27,3,0,9,0,9,0,0,0,0,0,21,8,2,1,5,4,0,0,0,1,0,8,1,6,0,1,"McHenry"
"1860","G1701110871311","Illinois","17111",2010,508,378,56,0,0,26,5,13,2,0,1,5,0,32,4,0,0,11,11,0,4,0,0,2,16,1,2,1,12,"McHenry"
"1861","G1701110871402","Illinois","17111",2010,307,249,11,13,0,8,0,6,0,0,0,2,0,7,0,1,0,0,3,0,1,0,0,2,19,5,2,0,12,"McHenry"
"1862","G1701110871404","Illinois","17111",2010,394,236,50,16,0,24,0,8,6,1,5,4,0,48,3,1,0,13,19,1,7,1,3,0,20,4,2,3,11,"McHenry"
"1863","G1701110871500","Illinois","17111",2010,528,398,46,8,1,12,0,6,0,1,0,5,0,30,0,0,4,2,13,0,7,0,4,0,33,2,2,0,29,"McHenry"
"1864","G1701110871600","Illinois","17111",2010,383,316,20,5,0,10,5,1,2,0,1,1,0,17,4,0,2,3,1,0,7,0,0,0,15,4,0,0,11,"McHenry"
"1865","G1701970880105","Illinois","17197",2010,1908,1622,139,15,2,44,0,17,0,9,6,12,0,44,4,0,0,18,6,0,12,0,4,0,42,9,8,0,25,"Will"
"1866","G1701970880106","Illinois","17197",2010,1506,1274,131,6,2,41,2,22,10,0,6,1,0,14,2,0,0,10,1,0,1,0,0,0,38,1,1,0,36,"Will"
"1867","G1701970880107","Illinois","17197",2010,1427,1261,84,1,0,27,1,14,0,1,3,8,0,19,0,1,1,7,2,0,8,0,0,0,35,7,3,0,25,"Will"
"1868","G1701970880109","Illinois","17197",2010,917,757,55,6,3,26,1,17,0,0,6,2,0,47,6,3,1,13,16,0,7,1,0,0,23,9,0,0,14,"Will"
"1869","G1701970880111","Illinois","17197",2010,1499,1361,59,2,0,21,0,12,4,3,1,1,0,16,0,2,0,4,0,0,3,0,7,0,40,20,2,1,17,"Will"
"1870","G1701970880112","Illinois","17197",2010,717,648,35,0,3,8,0,8,0,0,0,0,0,11,0,0,0,1,7,0,2,0,0,1,12,1,2,0,9,"Will"
"1871","G1701970880113","Illinois","17197",2010,1890,1716,78,11,0,42,0,40,2,0,0,0,0,11,0,0,0,7,0,0,4,0,0,0,32,4,7,0,21,"Will"
"1872","G1701970880114","Illinois","17197",2010,1318,1185,51,1,3,37,0,24,5,2,1,5,0,10,0,0,0,3,1,0,6,0,0,0,31,4,0,0,27,"Will"
"1873","G1701970880115","Illinois","17197",2010,1062,937,57,4,4,18,1,7,2,0,2,6,0,13,3,3,0,4,1,0,1,1,0,0,29,3,1,0,25,"Will"
"1874","G1701970880116","Illinois","17197",2010,730,618,47,8,5,24,3,12,5,1,3,0,0,5,1,0,0,4,0,0,0,0,0,0,23,6,0,0,17,"Will"
"1875","G1701970880117","Illinois","17197",2010,917,821,38,2,4,23,3,8,2,4,2,4,0,9,0,0,0,5,0,2,1,1,0,0,20,3,2,0,15,"Will"
"1876","G1701970880118","Illinois","17197",2010,143,54,17,7,1,1,1,0,0,0,0,0,0,39,3,1,0,11,11,1,9,0,3,0,24,13,1,0,10,"Will"
"1877","G1701970880119","Illinois","17197",2010,125,76,21,10,0,4,0,0,0,0,0,4,0,11,4,4,1,0,0,0,1,1,0,0,3,3,0,0,0,"Will"
"1878","G1701970880120","Illinois","17197",2010,1453,1055,209,17,0,57,3,33,5,3,4,9,0,67,1,3,0,23,9,0,22,0,9,0,48,13,1,0,34,"Will"
"1879","G1701970880121","Illinois","17197",2010,1721,1349,170,13,3,77,0,43,8,1,6,18,1,82,5,11,2,30,18,0,9,0,7,0,27,8,5,0,14,"Will"
"1880","G1701970880202","Illinois","17197",2010,1056,865,81,7,0,46,0,30,8,1,0,7,0,34,1,0,0,13,8,0,8,0,4,0,23,0,1,0,22,"Will"
"1881","G1701970880203","Illinois","17197",2010,1203,1016,76,5,0,13,5,2,0,0,0,6,0,26,1,0,0,7,4,0,10,3,0,1,67,5,2,0,60,"Will"
"1882","G1701970880204","Illinois","17197",2010,1352,1153,93,10,0,23,0,9,5,0,4,5,0,32,2,1,6,7,9,0,5,0,2,0,41,3,10,0,28,"Will"
"1883","G1701970880303","Illinois","17197",2010,170,109,33,8,1,3,0,0,0,0,2,0,1,10,4,0,1,1,1,0,3,0,0,0,6,5,0,0,1,"Will"
"1884","G1701970880304","Illinois","17197",2010,186,121,15,5,0,7,1,6,0,0,0,0,0,26,4,3,3,6,5,0,0,1,4,0,12,5,6,0,1,"Will"
"1885","G1701970880305","Illinois","17197",2010,217,109,21,16,1,1,0,1,0,0,0,0,0,42,1,1,0,19,4,0,8,5,4,0,27,15,5,0,7,"Will"
"1886","G1701970880306","Illinois","17197",2010,615,404,90,24,2,11,2,3,4,1,1,0,0,55,0,4,5,12,9,0,11,0,14,0,29,13,2,0,14,"Will"
"1887","G1701970880307","Illinois","17197",2010,384,208,52,11,13,25,2,6,2,8,4,3,0,45,5,2,0,22,4,0,6,0,6,0,30,19,1,0,10,"Will"
"1888","G1701970880308","Illinois","17197",2010,599,418,54,27,0,10,2,3,0,0,0,5,0,45,2,0,1,4,19,0,13,1,5,0,45,3,8,1,33,"Will"
"1889","G1701970880309","Illinois","17197",2010,272,192,25,16,7,5,3,2,0,0,0,0,0,15,10,0,0,2,0,0,0,0,3,0,12,4,4,0,4,"Will"
"1890","G1701970880310","Illinois","17197",2010,1226,885,157,35,0,40,0,30,3,0,1,6,0,67,8,5,0,23,15,0,1,3,12,0,42,13,6,0,23,"Will"
"1891","G1701970880312","Illinois","17197",2010,354,183,42,15,5,18,0,10,0,1,1,6,0,62,17,2,0,14,9,2,5,0,12,1,29,7,8,0,14,"Will"
"1892","G1701970880313","Illinois","17197",2010,1529,1170,157,25,5,38,0,11,12,4,3,8,0,109,7,8,3,53,6,0,16,0,16,0,25,14,0,0,11,"Will"
"1893","G1701970880314","Illinois","17197",2010,636,471,71,25,0,19,0,8,5,0,4,2,0,22,5,0,1,11,1,0,0,0,0,4,28,5,10,0,13,"Will"
"1894","G1701970880404","Illinois","17197",2010,1357,1020,176,18,9,33,1,18,1,0,2,11,0,64,4,3,0,33,7,0,13,0,4,0,37,12,4,0,21,"Will"
"1895","G1701970880408","Illinois","17197",2010,1306,1084,105,16,4,23,0,17,1,0,0,5,0,43,2,0,6,26,3,0,6,0,0,0,31,6,1,0,24,"Will"
"1896","G1701970880410","Illinois","17197",2010,2734,2301,208,14,14,63,4,36,9,7,1,5,1,72,1,8,1,23,26,0,13,0,0,0,62,15,2,0,45,"Will"
"1897","G1701970880411","Illinois","17197",2010,259,215,19,3,0,1,0,0,0,0,0,1,0,9,4,0,0,1,0,0,3,0,1,0,12,4,7,0,1,"Will"
"1898","G1701970880412","Illinois","17197",2010,722,609,61,2,0,12,0,12,0,0,0,0,0,16,2,0,1,0,4,0,3,0,6,0,22,6,11,0,5,"Will"
"1899","G1701970880414","Illinois","17197",2010,566,490,37,0,5,11,0,11,0,0,0,0,0,8,0,0,2,3,1,0,2,0,0,0,15,5,3,0,7,"Will"
"1900","G1701970880415","Illinois","17197",2010,1849,1603,122,4,3,45,0,36,2,0,0,7,0,51,2,3,2,32,4,1,7,0,0,0,21,4,1,0,16,"Will"
"1901","G1701970880416","Illinois","17197",2010,501,405,46,5,0,2,0,2,0,0,0,0,0,11,0,0,0,5,3,0,2,0,1,0,32,0,8,0,24,"Will"
"1902","G1701970880417","Illinois","17197",2010,306,265,14,0,4,1,0,0,0,0,1,0,0,6,1,0,1,0,2,0,0,0,2,0,16,0,5,0,11,"Will"
"1903","G1701970880418","Illinois","17197",2010,839,629,131,15,8,7,0,3,0,0,0,4,0,18,0,0,2,4,1,1,7,0,3,0,31,7,6,0,18,"Will"
"1904","G1701970880419","Illinois","17197",2010,1824,1448,213,20,1,65,1,25,11,8,0,20,0,45,2,1,0,14,15,1,6,0,6,0,32,13,5,0,14,"Will"
"1905","G1701970880420","Illinois","17197",2010,2707,2115,315,10,5,122,1,73,5,0,5,38,0,61,3,2,3,11,23,0,12,6,1,0,79,21,9,0,49,"Will"
"1906","G1701970880421","Illinois","17197",2010,586,457,65,12,0,15,0,12,0,2,0,1,0,20,0,0,0,3,4,1,5,0,7,0,17,2,6,0,9,"Will"
"1907","G1701970880502","Illinois","17197",2010,349,298,19,4,0,5,0,5,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,19,9,1,0,9,"Will"
"1908","G1701970880503","Illinois","17197",2010,642,509,45,3,4,27,2,15,0,0,7,0,3,35,0,5,1,14,0,0,12,0,3,0,19,1,2,0,16,"Will"
"1909","G1701970880505","Illinois","17197",2010,2790,2403,209,10,2,51,4,33,7,0,1,6,0,42,1,5,0,11,8,0,13,0,4,0,73,5,2,1,65,"Will"
"1910","G1701970880507","Illinois","17197",2010,2115,1752,195,6,4,54,0,18,16,3,0,17,0,70,5,6,5,12,20,1,17,0,4,0,34,5,3,0,26,"Will"
"1911","G1701970880601","Illinois","17197",2010,163,126,2,11,0,1,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,20,8,7,0,5,"Will"
"1912","G1701970880602","Illinois","17197",2010,304,268,16,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,2,0,15,6,0,0,9,"Will"
"1913","G1701970880701","Illinois","17197",2010,361,294,37,5,2,5,0,2,0,1,0,2,0,7,0,0,0,5,2,0,0,0,0,0,11,3,0,0,8,"Will"
"1914","G1701970880702","Illinois","17197",2010,634,561,18,5,1,12,0,6,2,3,0,1,0,5,0,0,0,5,0,0,0,0,0,0,32,2,0,1,29,"Will"
"1915","G1701970880901","Illinois","17197",2010,1007,843,65,2,0,23,2,7,7,2,1,4,0,20,0,1,0,5,8,0,5,0,1,0,54,9,6,0,39,"Will"
"1916","G1701970880903","Illinois","17197",2010,472,398,23,5,4,12,0,7,2,1,0,2,0,13,0,0,2,2,0,0,7,0,0,2,17,0,2,0,15,"Will"
"1917","G1701970880905","Illinois","17197",2010,514,480,23,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,"Will"
"1918","G1701970881001","Illinois","17197",2010,292,225,22,8,0,7,0,4,3,0,0,0,0,10,3,0,0,1,5,0,1,0,0,0,20,4,0,4,12,"Will"
"1919","G1701970881002","Illinois","17197",2010,237,180,23,3,0,9,0,0,0,0,3,3,3,13,1,0,1,0,8,0,1,2,0,0,9,4,1,0,4,"Will"
"1920","G1701970881005","Illinois","17197",2010,197,164,15,1,0,2,0,2,0,0,0,0,0,6,0,0,0,0,1,0,0,0,5,0,9,0,5,0,4,"Will"
"1921","G1701970881006","Illinois","17197",2010,177,163,6,2,0,1,1,0,0,0,0,0,0,4,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"Will"
"1922","G1701970881007","Illinois","17197",2010,317,260,23,5,0,3,0,3,0,0,0,0,0,7,0,0,0,4,2,0,0,0,1,0,19,6,0,0,13,"Will"
"1923","G1701970881009","Illinois","17197",2010,568,456,63,4,0,10,0,0,4,5,0,1,0,21,1,0,3,2,13,0,1,0,0,1,14,4,0,0,10,"Will"
"1924","G1701970881010","Illinois","17197",2010,352,294,14,2,0,8,0,1,0,5,0,2,0,10,3,0,0,5,0,0,0,0,2,0,24,4,1,0,19,"Will"
"1925","G1701970881011","Illinois","17197",2010,170,146,12,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,9,3,5,0,1,"Will"
"1926","G1701970881012","Illinois","17197",2010,135,93,21,1,0,2,0,0,0,1,0,1,0,7,1,0,0,3,2,0,1,0,0,0,11,4,5,0,2,"Will"
"1927","G1701970881105","Illinois","17197",2010,292,227,27,14,0,5,0,4,0,0,0,0,1,8,0,0,0,2,0,3,3,0,0,0,11,6,0,0,5,"Will"
"1928","G1701970881107","Illinois","17197",2010,145,122,6,0,0,4,0,2,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,10,4,1,0,5,"Will"
"1929","G1701970881108","Illinois","17197",2010,528,460,41,2,0,2,0,0,2,0,0,0,0,6,0,0,0,2,3,0,1,0,0,0,17,10,3,0,4,"Will"
"1930","G1701970881109","Illinois","17197",2010,262,228,14,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,3,0,4,"Will"
"1931","G1701970881111","Illinois","17197",2010,111,72,14,2,0,1,0,1,0,0,0,0,0,9,0,1,0,1,0,0,7,0,0,0,13,4,6,0,3,"Will"
"1932","G1701970881112","Illinois","17197",2010,338,283,19,14,0,5,0,5,0,0,0,0,0,7,0,2,0,5,0,0,0,0,0,0,10,2,3,0,5,"Will"
"1933","G1701970881113","Illinois","17197",2010,179,146,19,0,3,1,0,0,0,1,0,0,0,4,0,0,0,1,3,0,0,0,0,0,6,4,1,0,1,"Will"
"1934","G1701970881115","Illinois","17197",2010,248,211,21,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,8,3,5,0,0,"Will"
"1935","G1701970881116","Illinois","17197",2010,151,128,14,0,0,1,0,0,0,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,3,0,2,0,1,"Will"
"1936","G1701970881200","Illinois","17197",2010,1264,1185,38,12,0,4,0,0,1,3,0,0,0,8,0,0,0,6,0,0,2,0,0,0,17,2,4,0,11,"Will"
"1937","G1701970881301","Illinois","17197",2010,3030,2945,16,0,6,14,0,11,1,1,0,1,0,9,1,0,1,7,0,0,0,0,0,0,40,1,0,0,39,"Will"
"1938","G1701970881302","Illinois","17197",2010,1582,1502,15,0,2,11,0,2,8,0,0,1,0,7,0,0,0,0,4,0,2,0,1,0,45,1,3,0,41,"Will"
"1939","G1701970881401","Illinois","17197",2010,1378,1282,38,3,0,6,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,0,48,"Will"
"1940","G1701970881402","Illinois","17197",2010,681,628,25,1,0,7,1,1,5,0,0,0,0,9,0,1,0,8,0,0,0,0,0,0,11,4,2,0,5,"Will"
"1941","G1701970881500","Illinois","17197",2010,688,652,15,1,0,5,0,0,0,0,3,2,0,5,0,0,0,0,1,0,1,0,3,0,10,1,1,0,8,"Will"
"1942","G1701970881601","Illinois","17197",2010,226,172,14,3,0,12,1,1,3,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,24,1,3,0,20,"Will"
"1943","G1701970881603","Illinois","17197",2010,749,624,57,3,3,26,0,13,5,0,8,0,0,4,1,0,0,0,1,0,0,2,0,0,32,0,5,0,27,"Will"
"1944","G1701970881604","Illinois","17197",2010,365,284,31,2,0,13,2,7,3,0,1,0,0,4,0,0,0,0,1,0,3,0,0,0,31,4,2,0,25,"Will"
"1945","G1701970881700","Illinois","17197",2010,390,351,6,4,0,1,0,1,0,0,0,0,0,16,0,0,0,6,3,0,5,0,2,0,12,2,0,0,10,"Will"
"1946","G1701970881800","Illinois","17197",2010,1784,1619,43,7,0,15,0,5,3,0,2,5,0,7,0,0,0,5,1,0,1,0,0,0,93,5,6,0,82,"Will"
"1947","G1701970881900","Illinois","17197",2010,1437,1369,31,0,0,7,0,1,0,0,3,3,0,6,0,0,0,1,2,0,1,2,0,0,24,1,6,0,17,"Will"
"1948","G1701970882000","Illinois","17197",2010,1417,1382,15,3,0,5,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,11,"Will"
"1949","G1701970882100","Illinois","17197",2010,2429,2376,7,0,0,8,0,8,0,0,0,0,0,5,0,0,1,0,0,0,2,0,2,0,33,4,0,0,29,"Will"
"1950","G1701970882200","Illinois","17197",2010,2759,2633,27,0,1,18,7,2,0,0,0,9,0,2,0,0,0,1,0,0,1,0,0,0,78,2,1,0,75,"Will"
"1951","G1701970882300","Illinois","17197",2010,1484,1407,19,2,0,3,0,3,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,49,6,4,0,39,"Will"
"1952","G1701970882400","Illinois","17197",2010,1752,1645,47,0,0,4,0,0,2,1,1,0,0,6,0,0,0,5,0,0,1,0,0,0,50,0,0,0,50,"Will"
"1953","G1701970882500","Illinois","17197",2010,560,510,21,2,0,4,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,19,0,0,0,19,"Will"
"1954","G1701970882601","Illinois","17197",2010,858,766,38,1,4,12,0,9,2,0,1,0,0,5,0,0,1,0,1,0,3,0,0,0,32,1,3,0,28,"Will"
"1955","G1701970882602","Illinois","17197",2010,1361,1305,25,1,1,4,0,0,1,0,3,0,0,4,0,0,0,2,0,1,1,0,0,0,21,2,10,0,9,"Will"
"1956","G1701970882701","Illinois","17197",2010,566,520,13,1,0,3,0,3,0,0,0,0,0,10,0,0,0,3,0,0,7,0,0,0,19,0,0,0,19,"Will"
"1957","G1701970882702","Illinois","17197",2010,752,674,42,14,6,5,0,2,0,0,3,0,0,6,1,0,1,3,0,0,1,0,0,0,5,4,1,0,0,"Will"
"1958","G1701970882801","Illinois","17197",2010,592,529,26,6,10,3,0,0,2,1,0,0,0,11,0,1,0,4,3,0,3,0,0,0,7,0,0,0,7,"Will"
"1959","G1701970882802","Illinois","17197",2010,594,540,29,3,0,4,0,4,0,0,0,0,0,7,2,0,0,5,0,0,0,0,0,0,11,0,6,0,5,"Will"
"1960","G1701970882900","Illinois","17197",2010,792,743,17,0,0,6,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,3,4,0,18,"Will"
"1961","G1701970883000","Illinois","17197",2010,825,756,15,1,3,7,0,3,0,0,4,0,0,3,0,0,0,1,1,0,0,0,1,0,40,0,1,0,39,"Will"
"1962","G1701970883100","Illinois","17197",2010,648,586,21,10,0,5,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,25,"Will"
"1963","G1701970883206","Illinois","17197",2010,672,567,42,4,1,14,4,6,1,0,1,2,0,14,4,0,0,2,0,0,7,0,1,0,30,4,0,0,26,"Will"
"1964","G1701970883208","Illinois","17197",2010,414,327,36,0,0,23,0,10,9,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,26,2,1,0,23,"Will"
"1965","G1701970883209","Illinois","17197",2010,372,331,19,0,0,1,0,0,0,0,0,1,0,8,2,0,0,5,0,0,1,0,0,0,13,4,9,0,0,"Will"
"1966","G1701970883210","Illinois","17197",2010,168,129,13,2,0,4,0,2,0,0,1,1,0,5,2,0,0,2,0,1,0,0,0,0,15,0,12,1,2,"Will"
"1967","G1701970883211","Illinois","17197",2010,989,842,71,3,4,14,1,10,0,0,3,0,0,14,0,0,0,3,2,0,8,0,1,0,41,3,9,0,29,"Will"
"1968","G1701970883212","Illinois","17197",2010,482,366,49,19,4,8,1,4,3,0,0,0,0,19,4,0,1,4,1,0,2,0,7,0,17,10,0,0,7,"Will"
"1969","G1701970883213","Illinois","17197",2010,364,273,43,13,0,3,1,2,0,0,0,0,0,8,0,3,2,0,1,0,2,0,0,0,24,11,4,0,9,"Will"
"1970","G1701970883214","Illinois","17197",2010,258,233,15,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,7,1,0,0,6,"Will"
"1971","G1701970883215","Illinois","17197",2010,2660,2157,269,13,13,70,0,39,7,5,5,14,0,53,1,5,0,27,1,0,19,0,0,0,85,10,6,0,69,"Will"
