"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"193","G1700310160300","Illinois","17031",2010,814,293,275,22,5,49,1,34,6,0,0,8,0,129,14,0,0,28,49,0,38,0,0,0,41,12,0,0,29,"Cook"
"194","G1700310160400","Illinois","17031",2010,2126,1119,448,67,8,169,0,126,17,2,8,16,0,208,4,10,6,40,120,0,25,1,1,1,107,12,3,0,92,"Cook"
"195","G1700310160501","Illinois","17031",2010,2673,1684,260,19,6,286,3,203,43,0,0,37,0,321,1,4,3,28,264,2,13,6,0,0,97,6,0,0,91,"Cook"
"196","G1700310160502","Illinois","17031",2010,2119,1360,248,17,24,231,0,175,24,5,1,24,2,185,2,2,3,43,110,1,20,0,0,4,54,4,4,0,46,"Cook"
"197","G1700310160601","Illinois","17031",2010,1729,1063,239,26,10,139,0,95,21,4,1,18,0,162,4,17,0,49,85,0,4,3,0,0,90,16,1,0,73,"Cook"
"198","G1700310160602","Illinois","17031",2010,1655,1020,258,36,0,113,0,75,19,3,3,13,0,169,5,0,1,37,108,0,16,0,2,0,59,11,2,0,46,"Cook"
"199","G1700310160700","Illinois","17031",2010,2934,1602,536,44,7,320,11,198,58,4,5,44,0,293,14,9,16,54,146,0,33,9,12,0,132,11,5,0,116,"Cook"
"200","G1700310160800","Illinois","17031",2010,2973,1782,531,49,14,245,12,180,20,4,0,28,1,272,16,2,3,66,168,0,17,0,0,0,80,9,8,4,59,"Cook"
"201","G1700310160900","Illinois","17031",2010,755,413,182,18,3,50,0,29,16,0,0,5,0,69,1,0,5,10,46,0,4,1,0,2,20,6,0,0,14,"Cook"
"202","G1700310161000","Illinois","17031",2010,414,212,113,3,3,22,1,19,1,1,0,0,0,51,4,4,2,15,13,0,12,1,0,0,10,4,0,0,6,"Cook"
"203","G1700310161100","Illinois","17031",2010,301,148,80,14,1,15,3,4,4,0,1,3,0,33,2,1,1,5,20,0,3,0,1,0,10,2,3,0,5,"Cook"
"204","G1700310161200","Illinois","17031",2010,1878,1077,376,36,0,150,2,82,34,5,1,26,0,205,4,14,0,35,128,0,20,0,4,0,34,0,0,0,34,"Cook"
"205","G1700310161300","Illinois","17031",2010,2372,1477,524,23,3,164,3,112,9,7,0,33,0,128,0,12,5,15,57,0,14,0,25,0,53,7,1,0,45,"Cook"
"206","G1700310170100","Illinois","17031",2010,176,80,53,10,1,21,2,7,5,4,1,2,0,5,0,0,0,2,3,0,0,0,0,0,6,1,1,0,4,"Cook"
"207","G1700310170200","Illinois","17031",2010,1289,753,273,9,0,95,0,73,8,4,0,10,0,123,2,0,1,42,38,0,38,0,2,0,36,7,3,0,26,"Cook"
"208","G1700310170300","Illinois","17031",2010,1343,699,388,44,1,106,6,75,4,5,2,14,0,64,11,3,0,6,25,0,11,1,3,4,41,3,0,0,38,"Cook"
"209","G1700310170400","Illinois","17031",2010,740,332,206,11,0,66,5,34,1,8,0,18,0,90,5,1,2,30,32,0,9,0,5,6,35,7,6,0,22,"Cook"
